id_sonda	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35	Media	Error estándar %
202856_s_at	1079.1	263.8	132.2	180.3	160.8	280.3	936.4	240.5	560.5	824.0	119.1	670.0	1442.6	138.7	336.9	2595.0	827.8	530.2	628.7888888888889	22.65848673742445
202859_x_at	1338.6	1071.0	267.9	806.3	398.2	488.5	240.9	459.0	433.7	4994.3	101.2	102.9	596.3	56.8	133.8	5489.8	130.0	553.0	981.2333333333331	37.120584072709235
202861_at	17.4	15.1	98.2	171.9	110.7	21.4	79.7	525.5	469.8	113.7	163.9	277.1	86.9	49.4	75.0	90.3	402.8	15.8	154.70000000000005	23.48633627370068
202887_s_at	256.6	399.3	1361.7	1069.1	1206.8	520.0	797.7	3411.7	4341.5	1035.0	904.4	3224.7	301.8	809.5	311.7	2813.8	1362.2	757.5	1382.5	20.152065104604393
202934_at	920.7	173.1	288.4	451.8	266.8	295.3	364.3	564.6	280.7	477.0	520.2	453.6	475.5	416.7	303.2	4386.6	341.5	304.8	626.9333333333333	34.80445089311563
202952_s_at	166.2	117.0	93.4	576.5	427.4	93.6	1144.2	196.0	263.2	116.1	200.8	165.4	245.7	215.3	56.4	429.7	92.5	108.6	261.5555555555556	22.830779162005356
202965_s_at	22.7	4.9	59.1	7.2	50.2	4.7	7.9	9.7	5.4	6.5	6.2	5.8	14.8	31.8	7.0	6.7	5.1	30.1	15.877777777777778	23.845265817689224
202977_s_at	68.8	4.9	7.7	28.7	10.1	47.7	50.1	14.2	13.4	8.4	15.8	72.3	10.3	23.4	15.2	90.7	21.7	14.1	28.75	20.595068094028278
202988_s_at	144.4	29.4	162.7	267.6	117.0	62.4	61.2	49.1	1786.3	214.7	189.0	139.5	175.3	25.2	86.6	558.0	64.4	47.6	232.2444444444444	40.18076323397905
202989_at	4.5	4.4	30.2	13.9	7.3	10.4	0.4	1.6	24.1	12.6	15.9	3.2	6.6	6.8	35.1	31.6	2.7	34.6	13.66111111111111	20.24054724735288
202992_at	25.5	167.8	488.4	88.8	77.8	384.4	163.3	331.9	223.5	235.9	559.7	459.8	6.5	817.0	297.9	41.9	107.2	54.2	251.74999999999994	20.0780686434568
202994_s_at	12.6	381.1	825.3	182.1	279.1	97.8	129.8	1470.5	345.6	152.3	628.3	246.7	210.2	345.2	265.2	84.3	170.6	163.1	332.76666666666665	23.774461752206363
202997_s_at	224.4	134.7	33.6	71.7	117.1	39.8	773.4	15.3	65.9	6.8	12.7	113.2	194.7	8.0	8.2	104.8	21.7	17.6	109.08888888888889	37.472212317963745
202998_s_at	949.1	1337.0	394.6	2100.7	1822.7	872.9	5371.6	1350.4	1272.1	907.5	837.5	876.9	1445.8	577.3	283.5	988.0	555.8	609.6	1252.9444444444443	20.71870110935708
202999_s_at	118.2	36.6	25.3	13.3	5.2	6.5	22.2	8.3	5.4	6.3	53.2	12.7	37.2	21.6	14.4	19.4	12.1	16.9	24.155555555555555	25.385071871675958
203027_s_at	16.6	25.4	13.0	6.7	20.0	9.1	17.4	3.4	37.2	7.5	3.3	64.9	18.3	11.2	51.5	59.8	9.4	6.8	21.194444444444443	20.858599760001198
203071_at	16.1	9.5	109.0	5.8	45.2	8.1	32.0	54.6	6.2	5.4	26.8	7.9	15.1	15.4	11.8	7.2	30.5	11.7	23.238888888888887	25.332457069141128
203084_at	148.3	12.5	11.4	21.1	57.0	38.1	37.0	29.5	12.6	5.9	17.6	27.2	13.4	46.0	18.7	28.3	18.0	13.9	30.916666666666668	23.883534464854304
203092_at	6.5	7.4	13.8	4.1	8.8	11.1	10.1	31.0	85.4	54.3	6.2	9.3	6.3	8.6	12.6	8.2	8.8	8.8	16.738888888888894	28.522910645207094
203129_s_at	13.9	4.1	6.8	6.1	5.7	5.6	6.5	25.9	4.4	7.0	4.6	6.4	8.2	9.4	19.0	11.1	7.8	48.8	11.183333333333334	22.391893760915167
203234_at	409.4	146.5	127.7	137.5	118.4	109.3	154.9	140.7	259.9	691.7	93.4	231.0	347.8	90.2	122.7	976.9	213.8	122.6	249.68888888888893	21.562338099497175
203256_at	43.6	12.1	8.0	8.5	5.3	7.0	16.6	8.2	7.6	3.7	7.6	4.4	7.0	9.7	8.4	5.2	6.5	11.7	10.06111111111111	20.28724823633527
203290_at	30.2	30.8	43.2	64.3	44.7	148.0	4567.4	13.3	20.1	3272.3	2953.3	5438.3	7564.3	110.1	4610.3	218.0	6733.2	55.5	1995.4055555555553	30.76494885450598
203295_s_at	73.4	11.3	129.2	39.8	52.6	24.8	36.6	161.6	28.8	44.3	530.9	64.9	28.9	303.9	19.5	39.6	16.5	741.5	130.45	35.18083907501084
203296_s_at	53.4	29.4	246.8	65.0	48.6	26.9	35.6	290.3	37.7	52.2	782.4	8.9	11.7	243.9	20.2	36.1	43.2	894.4	162.59444444444446	36.818346923532566
203400_s_at	36.3	42.0	117.9	169.6	197.2	35.7	6.7	435.7	51.6	26.6	385.3	41.4	7.5	171.1	61.0	5.2	52.0	10.8	102.97777777777777	28.257608880279317
203407_at	18.7	133.2	236.5	293.3	370.2	266.2	167.3	700.2	201.1	52.7	347.6	135.6	83.7	169.0	129.7	10.1	47.0	67.9	190.55555555555554	20.079933264739683
203414_at	257.0	455.9	1537.5	645.5	678.3	313.6	391.4	2174.4	395.0	638.4	2801.8	355.2	234.7	981.0	324.4	452.1	391.4	249.1	737.5944444444444	22.322472459760974
203424_s_at	21.1	15.4	141.2	74.7	80.8	119.0	43.4	66.0	5.1	4.9	136.8	31.2	38.6	236.7	84.7	8.9	39.9	43.1	66.19444444444444	20.934211637979626
203435_s_at	32.2	12.7	192.5	132.4	87.6	13.4	23.3	248.7	19.3	86.8	521.0	22.4	15.7	83.3	16.6	10.6	10.8	12.5	85.65555555555554	34.422120290878674
203443_at	12.0	14.5	3.8	53.2	11.0	7.7	7.0	18.7	14.0	7.8	9.7	10.9	10.7	30.7	10.1	13.7	60.3	40.7	18.694444444444443	20.14725029075441
203463_s_at	9.5	11.7	93.0	17.8	21.5	8.4	7.3	8.2	13.0	8.3	5.2	10.1	23.2	7.5	21.4	6.1	11.9	29.0	17.394444444444442	26.413362656903246
203548_s_at	21.8	236.7	1334.4	934.2	929.8	79.9	535.7	2216.4	71.8	773.7	4677.7	633.1	129.1	1841.3	137.5	493.1	926.5	211.7	899.1333333333336	28.7735434164609
203549_s_at	163.7	258.3	1805.8	868.4	890.0	176.5	465.4	2773.1	109.4	597.8	4413.3	728.4	227.6	1384.1	228.8	466.9	1276.0	379.0	956.25	26.4746860547518
203571_s_at	10.6	629.2	3285.3	1660.2	1889.9	331.3	1081.7	4763.5	487.4	1047.8	8532.7	355.3	213.1	1520.4	798.5	246.8	718.3	393.8	1553.6555555555553	31.180031662602524
203591_s_at	160.6	247.4	411.7	166.6	107.5	223.8	114.7	198.6	183.1	969.1	82.9	142.1	191.3	76.5	102.4	304.6	131.9	162.7	220.97222222222223	21.168184679769357
203601_s_at	38.8	28.5	56.1	8.5	8.2	16.0	22.6	25.8	16.2	15.0	19.2	15.2	27.7	13.4	35.8	98.2	116.8	24.7	32.59444444444444	20.961814222182895
203680_at	220.5	157.3	1632.7	730.8	676.6	126.1	179.2	1783.5	107.4	587.8	4270.5	143.0	290.1	1225.7	77.0	190.9	170.3	181.1	708.3611111111111	33.48914841804952
203687_at	9.5	10.5	151.0	11.5	17.8	21.9	15.7	10.4	80.6	14.4	11.5	18.6	8.6	6.4	7.5	9.1	10.7	9.7	23.633333333333333	34.76831890026226
203691_at	64.3	36.0	77.2	17.4	6.6	19.7	14.1	77.8	20.1	367.5	32.5	57.4	58.8	21.9	11.0	187.7	62.5	16.6	63.83888888888888	31.17152966149327
203698_s_at	3.3	55.6	232.6	22.4	53.2	22.4	20.5	74.8	73.0	22.7	35.5	167.8	58.1	51.4	79.4	13.0	49.9	64.8	61.133333333333326	21.1614974015741
203716_s_at	9.4	5.4	33.9	15.7	48.2	8.9	52.0	308.2	8.5	24.0	8.5	5.8	15.7	22.8	9.5	4.9	29.0	10.1	34.47222222222222	46.37237241685286
203722_at	18.6	20.6	23.5	35.0	13.3	18.3	26.5	133.8	26.1	53.5	131.3	7.8	5.6	53.3	11.9	11.4	57.5	57.3	39.18333333333333	22.240328544906035
203757_s_at	118.3	22.7	9.8	8.7	39.9	11.3	8.1	17.2	50.5	18.9	17.9	14.0	41.6	58.2	45.8	18.2	8.5	18.8	29.355555555555554	21.283600842548708
203766_s_at	21.7	82.6	509.0	150.1	172.1	48.5	73.7	180.9	123.2	45.7	153.1	109.5	5.1	110.1	32.8	7.6	54.2	60.5	107.8	24.305700853745414
203772_at	15.3	38.7	5.0	26.9	13.5	20.6	9.8	4.0	7.8	6.5	22.9	8.0	9.6	33.6	10.8	62.4	90.0	54.6	24.444444444444446	22.090703848238064
203798_s_at	25.9	2.0	8.8	6.6	18.2	16.5	30.8	2.3	3.1	3.9	15.2	2.1	12.1	1.4	5.1	2.7	2.8	7.8	9.294444444444444	21.624971397412356
203821_at	443.0	717.1	1660.4	629.0	431.6	198.3	393.3	296.9	380.7	596.7	169.2	389.7	637.2	740.2	2431.8	475.4	2562.6	624.7	765.4333333333333	21.182726762691793
203824_at	16.1	3.9	34.4	31.3	18.4	24.1	27.1	101.7	51.8	46.1	32.9	25.8	36.3	45.3	61.8	38.1	8.0	181.7	43.599999999999994	21.508453265045517
