id_sonda	RA271	RA273	RA281	RA282	RA288	RA289	Media	Error estándar %
202196_s_at	224.8	1653.9	374.2	205.3	303.5	227.1	498.1333333333334	42.624276252104025
202198_s_at	19.2	57.2	7.0	22.9	56.1	91.9	42.38333333333333	27.88549825630458
202208_s_at	420.1	201.9	32.2	109.4	159.1	144.9	177.93333333333337	27.564518737869786
202219_at	42.4	180.3	107.5	90.9	86.9	237.6	124.26666666666667	21.407635361517425
202222_s_at	100.9	86.9	111.8	25.8	126.9	385.3	139.60000000000002	33.456130561188694
202235_at	47.9	15.3	58.8	16.4	12.7	43.9	32.5	22.967833322308998
202241_at	1051.2	193.7	418.1	278.3	445.2	468.4	475.81666666666666	23.60115779917663
202248_at	10.2	80.9	103.9	48.9	112.4	60.0	69.38333333333334	20.361012440764085
202255_s_at	101.0	283.0	138.9	37.9	36.4	353.9	158.51666666666665	30.980982380302397
202257_s_at	338.1	261.0	86.7	54.0	148.8	174.4	177.1666666666667	22.478249009755487
202275_at	112.6	111.6	149.5	27.2	127.8	316.6	140.88333333333333	25.290772507057795
202285_s_at	35.4	19.7	18.1	43.1	100.4	35.8	42.083333333333336	26.750205716319986
202286_s_at	39.4	18.4	97.7	35.2	66.5	15.7	45.48333333333333	25.732967563849833
202287_s_at	42.2	42.3	23.6	14.5	12.4	9.2	24.03333333333333	23.105869236185498
202310_s_at	8495.8	19063.9	3618.8	6188.8	6311.2	2232.4	7651.816666666667	29.264962291339984
202311_s_at	793.7	2189.3	297.6	417.3	557.8	208.5	744.0333333333333	36.935576732920254
202316_x_at	3.0	118.2	32.6	16.2	29.9	13.6	35.583333333333336	43.906774711467165
202328_s_at	160.1	661.0	309.0	208.3	251.4	374.0	327.3	20.479705520370693
202339_at	52.9	104.3	11.6	20.8	17.6	55.1	43.71666666666667	29.832072470511523
202340_x_at	381.0	284.3	106.0	32.0	147.0	40.2	165.08333333333334	31.598345301957924
202344_at	103.7	201.1	53.3	63.9	40.2	114.7	96.14999999999999	22.879730057498648
202354_s_at	130.9	174.1	30.0	134.4	76.9	59.2	100.91666666666667	20.038815057201475
202367_at	206.2	234.8	261.1	320.7	357.5	877.8	376.34999999999997	24.94053976265125
202376_at	485.1	35.7	1848.7	1017.7	1108.0	1823.6	1053.1333333333332	25.462527775232918
202388_at	1825.4	528.7	531.8	609.4	360.0	597.0	742.0500000000002	27.026829226305882
202409_at	336.9	1611.1	831.2	395.5	585.5	798.3	759.75	22.726088879997207
202410_x_at	51.1	287.4	9.7	21.7	18.3	321.5	118.28333333333335	45.772620135468486
202415_s_at	97.1	135.1	79.7	64.6	63.8	218.2	109.75	20.156257119790556
202434_s_at	182.4	58.1	5.8	136.5	147.0	5.5	89.21666666666665	31.91838018220965
202444_s_at	173.8	98.9	117.9	168.3	278.0	36.8	145.61666666666667	20.98817499751045
202448_s_at	52.1	100.7	31.4	103.7	56.1	22.8	61.13333333333335	20.830454732357282
202455_at	39.4	217.4	278.1	54.8	57.9	47.9	115.91666666666667	33.468834920957036
202456_s_at	14.7	14.3	16.3	19.8	50.3	29.0	24.066666666666663	21.614785266094604
202470_s_at	8.3	45.0	44.8	86.4	114.5	64.5	60.583333333333336	22.70950927571116
202473_x_at	33.7	61.0	5.6	70.9	18.8	40.5	38.416666666666664	23.97334443155569
202482_x_at	15.9	15.6	12.0	9.7	44.5	19.9	19.599999999999998	24.13468444370631
202489_s_at	62.4	27.3	11.4	131.4	23.3	29.9	47.61666666666667	34.76959821894771
202493_x_at	5.3	2.6	3.7	11.2	11.2	7.3	6.883333333333333	20.029399525276233
202504_at	97.8	286.7	68.6	92.6	168.8	86.3	133.46666666666667	23.06084633666278
202508_s_at	43.2	11.8	9.4	13.0	48.9	26.3	25.433333333333337	25.078811901623194
202509_s_at	67.1	157.3	116.3	189.1	218.4	478.0	204.36666666666665	26.314936944148958
202525_at	4.2	33.3	32.4	46.0	59.6	9.8	30.883333333333336	25.4147935495232
202549_at	5.8	86.1	14.5	33.9	137.7	187.6	77.60000000000001	35.18064838861958
202570_s_at	40.7	188.9	133.0	50.3	15.2	158.6	97.78333333333335	27.257489924674775
202575_at	88.6	543.9	251.8	145.0	373.6	37.4	240.05000000000004	29.728447913721162
202580_x_at	9.9	4.6	11.2	8.7	70.0	95.4	33.300000000000004	43.827728879873725
202600_s_at	552.6	364.0	169.1	410.3	513.6	1074.8	514.0666666666666	22.184178755115223
202612_s_at	28.2	4.1	14.7	57.6	8.3	34.3	24.53333333333333	30.228866356781083
202616_s_at	17.9	102.3	187.0	49.6	110.0	153.9	103.45	22.663469359809795
202618_s_at	126.4	140.8	137.6	56.3	27.3	23.3	85.28333333333335	24.37261435903674
202628_s_at	216.3	473.6	150.7	105.1	106.4	114.2	194.38333333333335	27.44957979665544
202643_s_at	372.2	145.5	113.6	125.9	123.5	177.9	176.43333333333337	20.82231521130602
202648_at	25.1	23.5	93.4	104.7	155.4	89.5	81.93333333333334	22.9680629368705
202672_s_at	791.1	164.0	128.7	138.7	199.8	105.7	254.66666666666666	38.745359841882696
202685_s_at	24.9	473.1	230.8	132.4	170.6	163.5	199.21666666666667	28.11743573047193
202694_at	53.6	33.6	11.6	20.1	6.2	28.0	25.51666666666667	24.92610721740111
202705_at	83.8	20.4	40.6	44.1	92.1	11.6	48.76666666666667	25.066933498669027
202707_at	14.6	25.4	49.6	16.0	16.6	22.7	24.149999999999995	20.309035876841584
202712_s_at	82.8	11.8	37.6	98.3	58.5	93.9	63.81666666666666	20.019245476866583
202714_s_at	70.9	15.6	89.5	89.5	29.2	8.2	50.48333333333333	27.461676526053342
202718_at	926.1	149.2	132.8	377.8	523.5	1186.0	549.2333333333332	28.963425179112846
202723_s_at	123.4	218.4	393.3	275.8	398.5	690.4	349.9666666666667	20.99066106080819
202751_at	44.1	21.4	14.1	104.9	24.6	10.1	36.53333333333333	36.223470422331815
202756_s_at	145.5	95.8	130.2	24.9	58.4	23.7	79.74999999999999	24.489619067956543
202765_s_at	816.9	1893.5	735.5	864.7	2140.4	364.7	1135.95	23.260375075178665
202768_at	4179.2	365.0	85.1	28.7	54.4	18.0	788.4	78.76077806668745
202773_s_at	19.7	48.3	5.4	19.9	83.2	97.5	45.666666666666664	30.66990804151597
202790_at	25.5	67.9	3.8	55.7	51.8	81.4	47.68333333333334	22.228968201720043
202792_s_at	19.2	152.8	54.9	17.5	18.7	114.2	62.88333333333333	34.25310004551195
202803_s_at	2055.9	458.5	419.0	1318.9	2217.0	1473.3	1323.7666666666667	21.527478695526124
202805_s_at	160.2	401.3	147.6	103.2	148.4	60.6	170.21666666666667	26.08907118826303
202821_s_at	107.8	178.0	128.8	166.9	138.4	445.3	194.20000000000002	24.108960142292197
202826_at	42.0	75.7	43.7	99.1	21.8	35.2	52.916666666666664	20.26112217259474
202827_s_at	89.7	280.5	24.6	59.9	243.7	254.9	158.88333333333333	26.500122563474076
202828_s_at	128.4	252.6	99.6	81.6	135.7	353.3	175.20000000000002	22.49908890823039
202835_at	78.9	13.7	22.4	27.7	20.0	89.4	42.016666666666666	29.369262359672295
202843_at	210.1	71.8	72.7	90.4	58.4	79.7	97.18333333333334	21.590770643141276
202851_at	20.3	12.1	29.3	26.0	43.2	81.4	35.38333333333333	26.112777762119116
202852_s_at	145.1	129.5	30.6	35.9	16.5	73.7	71.88333333333334	28.159040500103167
202859_x_at	1113.6	44.9	116.2	140.4	27.4	136.5	263.1666666666667	59.38221295391938
202861_at	95.4	289.6	55.2	36.7	210.6	461.3	191.46666666666667	31.930648718402583
202870_s_at	6.8	29.6	43.2	11.2	11.6	37.4	23.299999999999997	24.67614182182574
202875_s_at	114.1	60.9	113.1	12.7	63.2	34.9	66.48333333333333	22.938515795907925
202879_s_at	58.6	82.4	11.3	12.1	87.9	24.5	46.13333333333333	28.111424866117794
202890_at	48.7	81.3	128.9	12.0	82.6	128.1	80.26666666666667	21.090186228639602
2028_s_at	66.4	42.3	56.1	23.6	40.6	7.2	39.36666666666667	20.322702019807064
202902_s_at	4184.3	368.5	1477.9	739.3	3536.6	2271.7	2096.383333333333	27.163791043457525
202917_s_at	9852.6	222.7	3028.0	2621.5	10318.2	9111.9	5859.150000000001	27.969139476155657
202921_s_at	194.3	440.3	76.7	221.0	346.5	144.0	237.13333333333335	21.055340764492563
202927_at	52.6	206.6	186.3	37.5	101.6	55.5	106.68333333333334	25.51746351598616
202934_at	213.4	79.6	112.6	95.8	186.5	317.5	167.5666666666667	20.102604569439336
202935_s_at	280.8	771.4	85.6	247.1	247.9	300.7	322.25	26.928867863941658
202937_x_at	125.8	19.2	17.6	18.1	59.8	69.6	51.68333333333334	30.97261335476232
202952_s_at	136.9	113.6	8.5	62.4	107.6	62.7	81.95	21.16168033378189
202953_at	8717.2	857.1	4187.1	2514.6	6843.8	8262.4	5230.366666666668	22.877271210247503
202965_s_at	13.0	29.1	58.5	17.3	14.1	26.0	26.333333333333332	24.11295500672032
202977_s_at	22.9	7.1	7.3	17.5	35.9	8.4	16.516666666666666	25.86338365927982
202986_at	27.0	48.9	63.4	23.3	77.7	13.5	42.300000000000004	22.171515790240885
202988_s_at	1349.5	64.2	54.4	133.6	47.3	66.0	285.8333333333333	68.06114383453223
202989_at	55.1	1.4	1.0	40.3	4.4	3.0	17.533333333333335	50.71908188819406
202992_at	359.8	133.6	400.4	638.1	571.7	1490.1	598.95	29.311582251300756
202996_at	150.0	224.7	166.2	38.8	68.1	69.7	119.58333333333333	22.392068225446433
202997_s_at	42.3	48.0	5.5	25.2	22.9	9.8	25.61666666666667	24.704203805069135
202998_s_at	196.4	1077.3	514.3	407.7	393.6	364.7	492.33333333333326	23.04566644412107
203000_at	102.5	6.3	200.8	107.2	301.5	83.8	133.6833333333333	28.716899096896846
203001_s_at	40.2	49.8	75.1	71.7	179.2	107.0	87.16666666666667	21.674921613293563
203015_s_at	67.9	50.1	51.5	197.3	146.5	68.5	96.96666666666665	23.339843981294518
203017_s_at	13.0	59.8	74.2	55.3	18.3	18.9	39.91666666666667	24.492097808967348
203019_x_at	67.3	19.6	3.2	14.1	48.1	49.6	33.65	27.587225656372215
203021_at	342.7	87.3	504.1	692.2	1428.1	895.1	658.25	26.54627840535579
203023_at	78.6	60.9	81.6	116.5	189.7	268.9	132.7	22.73094843390436
203036_s_at	23.9	13.7	8.4	25.7	70.7	111.7	42.349999999999994	35.64620678168491
203061_s_at	15.0	106.5	74.4	33.1	44.3	17.5	48.46666666666667	27.45190957131462
203063_at	86.3	255.1	410.8	187.1	80.2	350.6	228.35000000000002	22.231433297703354
203065_s_at	1229.6	2011.5	4884.9	1681.8	1923.6	2439.9	2361.883333333333	20.489598186248326
203068_at	8.9	108.3	130.8	111.7	56.9	49.2	77.63333333333333	22.403708116676896
203069_at	10.1	68.4	15.6	15.8	30.6	15.9	26.066666666666666	31.231337487222525
203071_at	15.5	139.0	17.8	33.5	118.1	41.1	60.833333333333336	32.9143544022155
203081_at	57.7	131.5	135.3	23.9	133.2	44.3	87.64999999999999	21.770692900071428
203084_at	17.4	47.9	8.4	17.7	14.6	46.7	25.45	25.26894818185042
203088_at	567.3	310.9	385.2	373.1	1683.7	593.4	652.2666666666667	29.582120369300224
